 2019-08-30 00:07:36,306 [P5764/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.14.0 application starting on PAPA
 2019-08-30 00:07:36,494 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2019-08-30 00:07:36,517 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 23ms)
 2019-08-30 00:07:37,660 [P5764/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2019-08-30 00:07:37,662 [P5764/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2019-08-30 00:07:37,664 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-08-30 00:07:39,757 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 2092ms)
 2019-08-30 00:07:39,757 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IApplicationStartupHandler
 2019-08-30 00:07:39,859 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IApplicationStartupHandler (took 102ms)
 2019-08-30 00:07:40,031 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-08-30 00:07:40,032 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-08-30 00:07:40,032 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2019-08-30 00:07:40,259 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 226ms)
 2019-08-30 00:07:40,260 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-08-30 00:07:40,260 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-08-30 00:07:40,261 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2019-08-30 00:07:40,308 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.PropertyEditors.IPropertyValueConverter (took 47ms)
 2019-08-30 00:07:40,335 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-08-30 00:07:40,335 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-08-30 00:07:40,335 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.Mvc.SurfaceController
 2019-08-30 00:07:40,403 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.Mvc.SurfaceController (took 67ms)
 2019-08-30 00:07:40,404 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving umbraco.interfaces.IDiscoverable
 2019-08-30 00:07:40,404 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved umbraco.interfaces.IDiscoverable (took 0ms)
 2019-08-30 00:07:40,404 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Web.WebApi.UmbracoApiController
 2019-08-30 00:07:40,449 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Web.WebApi.UmbracoApiController (took 44ms)
 2019-08-30 00:07:48,629 [P5764/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2019-08-30 00:07:50,565 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolving Umbraco.Core.Models.PublishedContent.PublishedContentModel
 2019-08-30 00:07:50,581 [P5764/D2/T1] INFO  Umbraco.Core.PluginManager - Resolved Umbraco.Core.Models.PublishedContent.PublishedContentModel (took 16ms)
 2019-08-30 00:07:51,653 [P5764/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2019-08-30 00:07:53,014 [P5764/D2/T1] INFO  Jumoo.uSync.BackOffice.uSyncApplicationEventHandler - Initializing uSync 73
 2019-08-30 00:07:53,065 [P5764/D2/T1] INFO  Jumoo.uSync.BackOffice.uSyncApplicationEventHandler - Firing up uSync
 2019-08-30 00:07:54,645 [P5764/D2/T1] INFO  Jumoo.uSync.Core.uSyncCoreContext - Loading Context (725ms)
